	a	e	i	o	u	neutral
א	1	32	63	94	125	156
ב	2	33	64	95	126	157
ג	3	34	65	96	127	158
ד	4	35	66	97	128	159
ה	5	36	67	98	129	160
ו	6	37	68	99	130	161
ז	7	38	69	100	131	162
ח	8	39	70	101	132	163
ט (תימנית)	9	40	71	102	133	164
י	10	41	72	103	134	165
כ (עם דגש)	11	42	73	104	135	166
ל	12	43	74	105	136	167
מ	13	44	75	106	137	168
נ	14	45	76	107	138	169
ס	15	46	77	108	139	170
ע	16	47	78	109	140	171
פ	17	48	79	110	141	172
צ	18	49	80	111	142	173
ק תימנית	19	50	81	112	143	174
ר	20	51	82	113	144	175
ש	21	52	83	114	145	176
ת	22	53	84	115	146	177
ג'	23	54	85	116	147	178
ג רפויה	24	55	86	117	148	179
ד רפויה	25	56	87	118	149	180
וו	26	57	88	119	150	181
ז'	27	58	89	120	151	182
כ רפויה	28	59	90	121	152	183
פיי	29	60	91	122	153	184
צ'	30	61	92	123	154	185
ת רפוייה	31	62	93	124	155	186
